_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
177,Roads and bridges,Infrastructure,North Grenville,Expansion and upgrade of County Road 43 and Rehabilitation of Bridge across Kemptville Creek,Planning,Nov-24,"The upgrade and expansion of County Road 43 will see, among other aspects, the widening of roadways, more crosswalks, new bike lanes and street lighting. These upgrades will improve the safety and reliability of the roads for pedestrians, cyclists and motorists. The project will also rehabilitate the 39-metre bridge which crosses Kemptville Creek.",,Leeds and Grenville,East,25 Central Avenue West,K6V4N6,,8332937,Yes,Yes,Yes,,,45.02437,-75.647366
178,Roads and bridges,Infrastructure,Ojibways of the Pic River First Nation,Pic River Roads Rehabilitation,Planning,2022,"The rehabilitation and widening a major road will include repaving, upgraded drainage, a culvert replacement, improved pathways and a new area for school buses to pullover.",These upgrades will improve the safety of motorists and pedestrians.,,Northwest,78 Pic River Road,POT1R0,,2078707,Yes,Yes,Yes,,,48.605667,-86.295813
179,Roads and bridges,Infrastructure,Ottawa,Road-sewer-water renewal for Florence St  and McLeod Ave.,Complete,May-18,"Complete the preliminary design for the rehabilitation of the combined sewer on Florence Street, and the watermain and sewer on McLeod Street.",,Ottawa,East,,,,506250,Yes,Yes,Yes,,,45.412271,-75.695307
180,Roads and bridges,Infrastructure,Pembroke,Reconstruction of a Section of Pembroke Street West,Planning,Nov-23,"The project is for the reconstruction of approximately 3 kilometres of Pembroke Street West from Christie Street West to the city limits. The work includes: removal and replacement of asphalt and gutters; installation, widening and reconstruction of paved shoulders and boulevards; repair of concrete sidewalks; upgrading of traffic signals; and relocation of utility poles.","The project aims to improve safety and road conditions for all road users, which may include vehicles, pedestrians and cyclists.",Renfrew,East,1 Pembroke Street/Rue East/Est,K8A3J5,,3281103,Yes,Yes,Yes,,,45.8296,-77.1385
181,Roads and bridges,Infrastructure,Peterborough,Improvement of the J.A. Gifford Causeway and Yankee Line,Planning,Dec-23,"The rehabilitation of approximately 1.4 kilometres of the J.A. Gifford Causeway, includes repairs to the Chemong Bridge, and 5.3 kilometres on Yankee Line (County Road 14).","These improvements will increase safety for motorists and pedestrians, and extend the life of the bridge and roadway.",Peterborough,East,470 Water,K9H3M3,,7978848,Yes,Yes,Yes,,,44.387122,-78.400414
182,Roads and bridges,Infrastructure,Pickle Lake,Pickle Lake Road Reconstruction,Planning,Aug-23,"The reconstruction, regrading, widening and expansion of a road will connect it to Highway 599. Other works will include ditching and drainage improvements with the installation of seven culverts.","These upgrades will improve road safety, better the flow of traffic and provide a secondary access point for emergency responses. Wider, paved shoulders will also encourage safer active transportation.",Kenora,Northwest,2 Anne Street/Rue,P0V3A0,,2922396,Yes,Yes,Yes,,,51.468295,-90.190906
183,Roads and bridges,Infrastructure,Powassan,Maple Hill Road Reconstruction,Complete,Dec-21,"The project will reconstruct approximately 2 km of Maple Hill Road. The work includes elevation of roadway, improvements to drainage, culverts, slopage and ditching.",,Parry Sound,Northeast,250 Clark Street,P0H1Z0,,1368498,Yes,Yes,Yes,,,46.095249,-79.396779
184,Roads and bridges,Infrastructure,Powassan,Alderdale Road Reconstruction,Complete,Nov-21,"The project will reconstruct approximately 8.13 km of Alderdale Road. The work includes improvements to elevation, resurfacing, ditching, drainage and replacement of approximately 12 culverts.",,Parry Sound,Northeast,2847 Chiswick Line,P0H1Z0,,2455165,Yes,Yes,Yes,,,46.111536,-79.267042
185,Roads and bridges,Infrastructure,Quinte West,King Street Corridor Redevelopment Project,Planning,Oct-25,"The project will reconstruct approximately 2.6 km of King Street, Division Street, Catherine Street and Dufferin Avenue.",,Hastings,East,7 Creswell Drive,K8V5R6,,4165708,Yes,Yes,Yes,,,44.099671,-77.584972
186,Roads and bridges,Infrastructure,Red Lake,Rehabilitation of Priority Roadways in the Municipality of Red Lake,Complete,May-22,"The rehabilitation of existing roads and sidewalks as well as adding new sidewalks will improve the reliability and safety of the road for drivers, support more active transportation and extend the lifespan of the roads.",,Kenora,Northwest,2 Fifth Street/Rue,P0V1C0,,4560983,Yes,Yes,Yes,,,51.021117,-93.828752
187,Roads and bridges,Infrastructure,Sarnia,Reconstruction of Plank Road,Planning,Nov-25,Project is for the reconstruction and widening of approximately 3 km of Plank Road between Indian Road South and Highway 40.,,Lambton,Southwest,255 Christina Street/Rue North/Nord,N7T7N2,,4166500,Yes,Yes,Yes,,,42.946047,-82.361709
188,Roads and bridges,Infrastructure,Saugeen Shores,McEwing Bridge Replacement,Planning,2022,"Replace the one-lane McEwing Bridge over Mill Creek with a new, two-lane structure.",,Bruce,Southwest,,,,1981194,Yes,Yes,Yes,,,44.36979,-81.3821
189,Roads and bridges,Infrastructure,Sheshegwaning First Nation,Improvements to Two Roads in Sheshegwaning First Nation,Complete,Nov-21,"Realigning and upgrading roads will improve public safety, reduce road maintenance costs, and offer motorists more reliable roads.",,,Northeast,1079 Sheshegwaning Road,P0P1X0,,1016364,Yes,Yes,Yes,,,45.9428,-82.8436
190,Roads and bridges,Infrastructure,Six Nations of the Grand River Territory,Construction of a Roundabout at the Intersection of Highway 54 and Chiefswood Road,Planning,2023,"The project will convert the intersection of Highway 54 and Chiefswood Road to a roundabout, which will improve road safety, reliability, support better traffic flow, improve emergency response and provide better access to a planned housing and business development.",,Brant,Southwest,1695 Chiefswood Road,N0A1M0,,1042529,Yes,Yes,Yes,,,43.101461,-80.095201
191,Roads and bridges,Infrastructure,Smooth Rock Falls,"Rehabilitation of Main Street, Dupont Street and Kelly Road",Planning,Jul-23,"Rehabilitating Main Street, Dupont Street and Kelly Road, including repaving sections of roads, new curbs, gutters and sidewalks. The project will also include landscaping of the boulevard, and improvements to intersections, sidewalk ramps and ditching.","This will result in better, more reliable roads.",Cochrane,Northeast,142 First Avenue,P0L2B0,,4666500,Yes,Yes,Yes,,,49.276065,-81.615565
192,Roads and bridges,Infrastructure,South Bruce,Bruce County Road 6 East Construction,Planning,Nov-24,"Rehabilitate approximately 7.7 kilometres of road, reconstruct approximately 1.4 kilometres of road, and repair two bridge decks in Bruce County.",,Bruce,Southwest,,,,3961592,Yes,Yes,Yes,,,44.051567,-81.062562
193,Roads and bridges,Infrastructure,South Dundas,Rehabilitation of a Section of County Road 2 in Morrison,Complete,May-22,"Rehabilitating County Road 2 will upgrade sections such as a new roundabout, better entrances to local businesses, and new sidewalks, crosswalks and lighting.","These updates will improve traffic efficiency, making it safer and smoother for motorists and pedestrians.","Stormont, Dundas and Glengarry",East,26 Pitt,K6J3P2,,2534899,Yes,Yes,Yes,,,44.9005,-75.1854
194,Roads and bridges,Infrastructure,Southwold,Second Line Bridge Replacement,Planning,2022,"The project will replace the Second Line Bridge with a concrete culvert to improve safety and access for multiple users, including emergency vehicles.",,Elgin,Southwest,35663 Fingal Line,N0L1K0,,587329,Yes,Yes,Yes,,,42.790121,-81.3902
195,Roads and bridges,Infrastructure,St. Clair,Rehabilitation of the Holt Line Bridge over the Sydenham River,Complete,Dec-21,"The rehabilitation of the Holt Line Bridge over the Sydenham River will extend the usefulness of the asset, maintain a necessary travel route for residents and preserve the historic nature of the structure.",,Lambton,Southwest,1155 Emily Street/Rue,N0N1M0,,1200000,Yes,Yes,Yes,,,42.69159,-82.402615
196,Roads and bridges,Infrastructure,Temiskaming Shores,Replacement of the Roy Bridge,Complete,Jul-22,"The replacement of the Roy Bridge located on the Boundary Road between the Township of Harley, and the City of Temiskaming Shores. ",The new bridge will improve safety and reduce service interruptions.,Timiskaming,Northeast,903303 Hanbury Road,P0J1P0,,5833125,Yes,Yes,Yes,,,47.580789,-79.721003
197,Roads and bridges,Infrastructure,Terrace Bay,Reconstruction of Mill Road,Planning,2022,"The reconstruction of Mill Road, which includes asphalt resurfacing, widened lanes, widened asphalt shoulders and improved drainage, will enhance the safety of motorists, cyclists and pedestrians.",,Thunder Bay,Northwest,1 Selkirk Avenue,P0T2W0,,1400795,Yes,Yes,Yes,,,48.79368,-87.09502
198,Roads and bridges,Infrastructure,The Blue Mountains,Thornbury West Stormwater Master Plan,Complete,Mar-19,Conduct an environmental assessment to determine the preferred solution to address stormwater drainage in the community of Thornbury to the west of the Beaver River. ,,Grey,Southwest,,,,161868,Yes,Yes,Yes,,,44.563076,-80.462264
199,Roads and bridges,Infrastructure,The Nation,Rehabilitation of Touchette Bridge,Planning,2022,"The rehabilitation of the Touchette Bridge, including the replacement of its deck, steel stringers and floor beams, will improve the safety of motorists and extend the bridge's lifespan.",,Prescott and Russell,East,958 Road 500 West,K0A1M0,,2089916,Yes,Yes,Yes,,,45.293275,-75.121392
200,Roads and bridges,Infrastructure,Thessalon First Nation,Reconstruction of Lakeside Drive,Planning,Oct-23,"The project will improve road safety and reliability, facilitate active transportation, improve traffic flow, reduce maintenance costs and extend the life of the roadway.",,Algoma,Northeast,187 Main Street/Rue,P0R1L0,,2624906,Yes,Yes,Yes,,,46.261432,-83.56713
201,Roads and bridges,Infrastructure,Walpole Island First Nation,Replacement of Tecumseh Road Culvert,Planning,Oct-23,The replacement an 18.5-metre culvert on Tecumseh Road will improve drainage and road reliability.,,,Southwest,117 Tahgahoning Road,N8A4K9,,522572,Yes,Yes,Yes,,,42.590237,-82.484044
202,Roads and bridges,Infrastructure,Wasauksing First Nation,Wawbawzee Road Reconstruction,Planning,Aug-23,"The project will reconstruct approximately 16 kilometers of Wawbawzee Road. The work will include road realignment, installation of culverts and proper shoulders, improved ditching and drainage, and paving.","The project will improve road safety, community access and support faster emergency response.",,Northeast,"1508 Geewadin Road, Lane G",P2A2X4,,4620535,Yes,Yes,Yes,,,45.313272,-80.09237
203,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 12,Complete,Jun-18,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,335 Laurelwood Dr,N2J 3Z4,,307840,Yes,Yes,Yes,,,43.481079,-80.606689
204,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 14.,Complete,Jun-18,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,585 Coldstream Dr,N2V 2H3,,109336,Yes,Yes,Yes,,,43.494507,-80.576111
205,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 7.,Complete,Dec-19,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,74 Erbsville Rd,N2T 2P6,,297357,Yes,Yes,Yes,,,43.455688,-80.570496
206,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 20.,Complete,Dec-19,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,165 Frobisher Dr,N2V 2E9,,481535,Yes,Yes,Yes,,,43.50769,-80.527222
207,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 30.,Complete,Dec-19,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,378 University Downs Crescent,N2K 4B1,,300200,Yes,Yes,Yes,,,43.49292,-80.488892
208,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 33.,Complete,Dec-19,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,551 Eastbridge Blvd,N2K 3Z7,,603725,Yes,Yes,Yes,,,43.50708,-80.500793
209,Roads and bridges,Infrastructure,Waterloo,Retrofit and sediment removal from pond 38.,Complete,Dec-19,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,2355 University Ave. E,N2K 0A2,,783916,Yes,Yes,Yes,,,43.517517,-80.515991
210,Roads and bridges,Infrastructure,Waterloo,Sediment removal from pond 55.,Complete,Dec-19,Remove built up sediment to ensure that the pond is operating efficiently. ,"Compliance with the Ministry of Environment's Environmental Compliance Approval (ECA) for stormwater management facilities,  and extended life of the asset.",Waterloo,Southwest,26 Fischer-Hallman Rd N 24B,,,232800,Yes,Yes,Yes,,,43.45503,-80.554722
211,Roads and bridges,Infrastructure,Wawa,Reconstruction of Roads Wawa School Zone,Planning,Dec-23,"Reconstructing nine roads around the Wawa school zone will include repair and replacement of curbs, sidewalks, ramps and gutters. The project will also add pedestrian crossings and bike lanes.","These upgrades will improve safety and reliability, support better traffic flow, and facilitate active transportation.",Algoma,Northeast,40 Broadway Avenue,P0S1K0,,4246200,Yes,Yes,Yes,,,47.9913,-84.776384
212,Roads and bridges,Infrastructure,Welland,Welland Canal Crossing ,Planning,Oct-25,Replace the former Forks Road Bridge lift structure over the Welland Canal.,"Improved public health and safety concerns, traffic flow for motorist and pedestrians, emergency response, and reduce the probability of asset failure and service interruptions.",Niagara,Central,Colborne St/Forks Rd,L3B 3M8,,4166083,Yes,Yes,Yes,,,42.947137,-79.249314
213,Roads and bridges,Infrastructure,West Grey,Lantz Bridge Replacement,Complete,Aug-22,"Replace the single lane, 15-metre Lantz bridge with a wider, two-lane wooden bridge. ",,Grey,Southwest,,,,1164120,Yes,Yes,Yes,,,44.192501,-80.856513
214,Roads and bridges,Infrastructure,West Lincoln,St. Ann's Road,Planning,Sep-23,"Rehabilitate approximately 1.5 kilometers of St. Ann’s Road between Twenty Mile Road and Regional Road Twenty, and upgrade the St. Ann’s Bridge .",,Niagara,Central,,,,4150876,Yes,Yes,Yes,,,43.076349,-79.50018
215,Roads and bridges,Infrastructure,White River,Rehabilitation of Lyndale Road and Black's Trail,Planning,2022,"Rehabilitating a portion of municipal roadways, which includes replacing the road base, resurfacing, intersection improvements and replacing cross culverts, will contribute to improved and more reliable road infrastructure for motorists.",,Algoma,Northeast,102 Durham Street P.O. Box 307,P0M3G0,,1462478,Yes,Yes,Yes,,,48.61382,-85.253739
216,Roads and bridges,Infrastructure,Wilmot,Nith River Bridge Replacement,Planning,Jul-24,"Replace the bridge over Nith River  in the Township of Wilmot with a new, two-lane concrete structure. ","Improved load, width, and height restrictions at this bridge.  ",Waterloo,Southwest,Township Rd 11A/Tye Rd,N3A 2W5,,2947799,Yes,Yes,Yes,,,43.332938,-80.64351
217,Roads and bridges,Transportation,Ajax,Highway 407 East Phase 1 - Brock Road to Harmony Road,Complete,Dec-16,New toll highway extension,,Durham,Central,,,Highway 407 East Phase 1,0,,Yes,,,http://www.infrastructureontario.ca/Highway-407-East-Phase-1/,,
218,Roads and bridges,Transportation,Algoma District,Resurfacing Harmony Lake Bridge ,Complete,Oct-18,Resurface 27.9 km of road and structure rehabilitations,,Algoma,Northeast,,,Hwy 17,21717109,,Yes,,,,46.732611,-84.349542
219,Roads and bridges,Transportation,Algoma District,"Hwy 17 Bruce Mines easterly, Hwy 638 Thessalon River Bridge, north of Hwy 670, Ophir",Under construction,2022,"Bridge rehabilitation, Culvert replacement, Resurfacing",,Algoma,Northeast,,,,0,,Yes,,,,46.2670449,-83.5735639
220,Roads and bridges,Transportation,Algoma District,"Echo Bay easterly to Bar River Rd., Echo Bay",Complete,Oct-21,Resurfacing,,Algoma,Northeast,,,,0,,Yes,,,,46.44331109,-84.06764778
221,Roads and bridges,Transportation,Augusta,Highway 401 Resurfacing,Complete,Jun-19,"Resurface 16 kms of Highway 401 from Maitland Road to Highway 416, culvert rehabilitations",,Leeds and Grenville,East,,,Highway 401,15241777,,Yes,,,,44.700797,-75.568802
222,Roads and bridges,Transportation,Aylmer,Talbot Street West Reconstruction,Complete,Mar-17,Reconstruct Talbot Street West (Highway 3),,Elgin,Southwest,,,Highway 3,0,,Yes,,,,,
223,Roads and bridges,Transportation,Aylmer,Traffic signal installation ,Planning,2021,Install traffic signals at the intersection of Talbot Street West and Caverly Road,,Elgin,Southwest,,,Highway 3,225000,,Yes,,,,42.773196,-80.99547
224,Roads and bridges,Transportation,Bancroft,Street rehabilitation,Planning,2021,Reconstruct Monck Street,,Hastings,East,,,Highway 28,1689918,,Yes,,,https://www.news.ontario.ca/mto/en/2019/07/connecting-links-funding-by-municipality-3.html,45.052459,-77.87683
225,Roads and bridges,Transportation,Bancroft,Rehabilitation of Hastings Street North ,Under construction,2023,,,Hastings,East,,,62,2186279,,Yes,,,,45.062804,-77.85679
226,Roads and bridges,Transportation,Barrie,Bayfield Street (Highway 26) Rehabilitation,Complete,To Be Determined,Rehabilitation of 1 kilometre section of Bayfield Street from Livingstone Street to the City Limit on the city's connecting link on Highway 26,,Simcoe,Central,,,Highway 26,0,,Yes,,,,,
227,Roads and bridges,Transportation,Barrie,Bayfied Street Rehabilitation,Complete,Mar-18,Rehabilitate Bayfield Street from Coulter Street to Cundles Street ,,Simcoe,Central,,,Highway 26,0,,Yes,,,,44.401356,-79.700585
228,Roads and bridges,Transportation,Barrie,Highway 400 Bridge Rehabilitation,Complete,Oct-18,"Rehabilitation of bridges on Highway 400/Barrie-Collingwood Railway, Tiffin Street, Barrie",,Simcoe,Central,,,Highway 400,26874000,,Yes,,,,44.370377,-79.7072
229,Roads and bridges,Transportation,Barrie,Bayfield Street Rehabilitation,Complete,Jun-18,"Resurface 600 metres of Bayfield Street, from Highway 400/Coulter Street to Ferris Lane and from Ferris Lane to Cundles Road",,Simcoe,Central,,,Highway 26,0,,Yes,,,,44.401356,-79.700585
230,Roads and bridges,Transportation,Barrie,Bridge rehabilitation,Complete,Aug-20,"Rehabilitation of the Tiffin St., Barrie-Collingwood Railway bridge",,Simcoe,Central,,,Hwy 400,26874000,,Yes,,,,44.3708224,-79.70743299
231,Roads and bridges,Transportation,Barrie,Bridge rehabilitation,Complete,Dec-21,Rehabilitation of the Willow Creek bridge,,Simcoe,Central,,,Hwy 400,20398000,,Yes,,,,44.42453273,-79.65270161
232,Roads and bridges,Transportation,Barrie,"Hwy 400, Anne St., Barrie",Under construction,2022,Replacement of Anne St. bridge ,2 bridge replacement,Simcoe,Central,,,Highway 400,0,,Yes,,,,44.38012737,-79.71087718
233,Roads and bridges,Transportation,Barrie,Resurfacing of Bayfield Street (Cundles Rd. to Livingstone St.),Complete,Mar-21,,,Simcoe,Central,,,26,1377000,,Yes,,,,44.401356,-79.700585
234,Roads and bridges,Transportation,Belleville,North Front Street Resurfacing ,Complete,Mar-18,Reconstruction of North Front Street,,Hastings,East,,,Highway 62,0,,Yes,,,,44.179891,-77.392321
235,Roads and bridges,Transportation,Belleville,Sagonaska Bridge Rehabilitation ,Complete,Mar-19,Detail design for the rehabilitation of Sagonaska Bridge on Pinnacle Street,,Hastings,East,,,Highway 62,0,,Yes,,,,44.170033,-77.385539
236,Roads and bridges,Transportation,Belleville,Bridge rehabilitation,Planning,2022,Rehabilitate the Saganoska Bridge,,Hastings,East,,,Highway 62,3000000,,Yes,,,https://www.news.ontario.ca/mto/en/2019/07/connecting-links-funding-by-municipality-3.html,44.170008,-77.385638
237,Roads and bridges,Transportation,Black River-Matheson,Resurfacing of Fourth Avenue (Highway 11 to Second St.),Complete,Mar-21,,,Cochrane,Northeast,,,11/101,641192,,Yes,,,,48.537198,-80.464119
238,Roads and bridges,Transportation,Blind River,Causley Street Bridge Rehabilitation,Complete,To Be Determined,Bridge rehabilitation,,Algoma,Northeast,,,Highway 17,0,,Yes,,,,46.185836,-82.955871
239,Roads and bridges,Transportation,Blind River,Causley Street Bridge Rehabilitation,Complete,Mar-20,Rehabilitate the Causley Street bridge and adjacent pedestrian crossing,,Algoma,Northeast,,,Highway 17,3000000,,Yes,,,,46.185847,-82.955863
240,Roads and bridges,Transportation,Bonnechere Valley,Reconstruction of Bridge Street,Complete,Mar-21,,,Renfrew,East,,,41,751273,,Yes,,,,45.540029,-77.100979
241,Roads and bridges,Transportation,Brantford,Resurfacing of King George Road ,Complete,Mar-21,,,Brant,Southwest,,,24,1053621,,Yes,,,,43.182409,-80.283575
242,Roads and bridges,Transportation,Burk's Falls,Armstrong Bridge Rehabilitation,Complete,Oct-17,Rehabilitation of Armstrong Bridge on Highway 520,,Parry Sound,Northeast,,,Highway 520,0,,Yes,,,,45.62209,-79.40995
243,Roads and bridges,Transportation,Burk's Falls,Rehabilitation of the Armstrong Bridge,Complete,Mar-21,,,Parry Sound,Northeast,,,520,851731,,Yes,,,,45.622005,-79.409847
244,Roads and bridges,Transportation,Cambridge,Highway 401 Widening ,Complete,Mar-20,Widening Highway 401 from 8 to 10 lane for 5.5 kms from Highway 8 to Hespeler Road,,Waterloo,Southwest,,,Highway 401,0,,Yes,,,,,
245,Roads and bridges,Transportation,Central Huron,Road resurfacing,Planning,2022,Resurface Victora Street ,,Huron,Southwest,,,Highway 4,418180,,Yes,,,,43.61925,-81.544679
246,Roads and bridges,Transportation,Centre Hastings,Resurfacing of Durham Street,Complete,Mar-20,Resurface 275 m of Durham Street from Livingstone Street to St.Lawrence Street and improve drainage,,Hastings,East,,,Highway 62,738371,,Yes,,,,44.504313,-77.472528
247,Roads and bridges,Transportation,Centre Wellington,St. David Street Bridge Rehabilitation,Complete,Nov-18,Rehabilitation of the St. David Street Bridge,,Wellington,Southwest,,,Highway 6,0,,Yes,,,https://www.centrewellington.ca/en/living-here/construction-projects.aspx,43.705509,-80.376948
248,Roads and bridges,Transportation,Champlain,High Street Reconstruction,Complete,Mar-20,Road reconstruction from the intersection of Highway 34 and Main Street in Vankleek Hill to the southern limits of the Township,,Prescott and Russell,East,,,Highway 34,2925111,,Yes,,,,45.514865,-74.655462
249,Roads and bridges,Transportation,Chatham-Kent,McNaughton Avenue and Murray Street Reconstruction,Complete,Aug-17,Reconstruction of McNaughton Avenue and Murray Street,,Chatham-Kent,Southwest,,,Highway 40,0,,Yes,,,,,
250,Roads and bridges,Transportation,Chatham-Kent,Highway 401 Reconstruction,Complete,Dec-18,"Reconstruction of 29 kms of Highway 401 from Essex Road 42 to Drake Road, eastbound lanes and Chatham-Kent Road 7 (Merlin Road) to Chatham-Kent Road 27 (Bloomfield Road), westbound lanes. Rehabilitaiton of 12 bridges",,Chatham-Kent,Southwest,,,Highway 401,71844000,,Yes,,,,42.40631,-82.022391
251,Roads and bridges,Transportation,Chatham-Kent,Merlin Road and Mull Side Road Reconstruction,Complete,Sep-20,"Reconstruct Merlin Rd to Bloomfield Rd and Mull Side Rd to Victoria Rd including 9 bridge rehabilitations, 13 culvert rehabilitations, median barrier",,Chatham-Kent,Southwest,,,Highway 401,81384000,,Yes,,,,42.325143,-82.243335
252,Roads and bridges,Transportation,Chatham-Kent,Highway 401 Reconstruction ,Complete,Oct-20,"Reconstruction of 11.4 kms of Highway 401 from Elgin Road to Colonel Talbot Road,  rehabilitation of 6 bridges and 2 culverts",,Chatham-Kent,Southwest,,,Highway 401,61784400,,Yes,,,,42.916331,-81.219684
253,Roads and bridges,Transportation,Chatham-Kent,Highway 401 Interchange Reconstruction,Complete,Mar-20,Reconfigure the Highway 401/40 interchange and rehabilitate 7 bridges and 2 culverts,,Chatham-Kent,Southwest,,,Highway 401,61944000,,Yes,,,,42.382071,-82.092624
254,Roads and bridges,Transportation,Chatham-Kent,Lord Selkirk Bridge Rehabilitation,Complete,Mar-20,"Rehabilitate the existing bridge structure involving mechanical, electrical and structural work to allow this bridge to continue to open to allow the passage of marine traffic",,Chatham-Kent,Southwest,,,Highway 40,3000000,,Yes,,,,42.591826,-82.387546
255,Roads and bridges,Transportation,Chatham-Kent,"Hwy 401 from Tilbury to London, 0.55 km east of Essex Rd. 42 to 1.8 km west Chatham-Kent Rd. 7 (Merlin Rd.), County of Essex, Contract 1",Under construction,2022,"Hwy 401 widening and installation of median barriers from Essex Rd. 42 to Merlin Rd., bridge rehabilitation of Baptist Creek Bridge, Little Baptist Creek Bridge, Tilbury Creek Bridge, McDougall Drain Bridge and Queen St. Bridge","Four to six-lane widening, Median barriers, Bridge rehabilitation",Chatham-Kent,Southwest,,,Highway 401,0,,Yes,,,,42.30638561,-82.31877868
256,Roads and bridges,Transportation,Chatham-Kent,Rehabilitation of Grand Avenue East (Chatham),Under construction,2023,,,Chatham-Kent,Southwest,,,40,3000000,,Yes,,,,42.422255,-82.167753
257,Roads and bridges,Transportation,Clarington,Highway 418 ,Complete,Dec-19,New highway connecting Highway 401 to Highway 407 east,,Durham,Central,,,Highway 418,1200000000,,,,,http://www.infrastructureontario.ca/Highway-407-East-Phase-2/,,
258,Roads and bridges,Transportation,Cobalt,Rehabilitating Highway 11 ,Complete,Jul-18,Resurfacing Highway 11 for 6.0 km from the Highway 11B Junction,,Timiskaming,Northeast,,,Hwy 11,8389000,,Yes,,,,,
259,Roads and bridges,Transportation,Cobourg,Highway 401 Widening ,Complete,Oct-17,Lane widening from 4 to 6 lanes from Burnham Street to Nagle Road,,Northumberland,East,,,Highway 401,44788888,,Yes,,,,,
260,Roads and bridges,Transportation,Cochrane District,"Nagagami River to Shekak River, west of Calstock",Complete,Sep-18,Resurface 3.3 km of road and structure rehabilitations,,Cochrane,Northeast,,,Hwy 11,24397000,,Yes,,,,49.772148,-84.536812
261,Roads and bridges,Transportation,Cochrane District,"Hwy 11, Rest area on Ryland, 11.5 km west of Hearst town limits, Hearst",Complete,Oct-21,Rehabilitation of rest area at Ryland ,Facility improvements,Cochrane,Northeast,,,Highway 11,0,,Yes,,,,49.6896502,-83.6648728
262,Roads and bridges,Transportation,Cochrane District,"Deception Creek and Smith Creek Bridges, south of Hunta",Under construction,2022,Bridge replacement,,Cochrane,Northeast,,,,0,,Yes,,,,49.15735,-81.27221
263,Roads and bridges,Transportation,Cornwall,Brookdale Avenue (Highway 138) Overpass Bridge Rehabilitation,Complete,Mar-19,Rehabilitation of the Canadian National Railway overpass on Brookdale Avenue on the city's Highway 138 connecting link.,,"Stormont, Dundas and Glengarry",East,,,Highway 138,0,,Yes,,,,45.042254,-74.764704
264,Roads and bridges,Transportation,Cornwall,Reconstruction of Brookdale Avenue,Under construction,2023,,,"Stormont, Dundas and Glengarry",East,,,138,1612557,,Yes,,,,45.045278,-74.767292
265,Roads and bridges,Transportation,Dryden,Government Street  Repaving,Complete,To Be Determined,"Road repaving, rout and seal on Government Street",,Kenora,Northwest,,,Highway 17,0,,Yes,,,,,
266,Roads and bridges,Transportation,Dryden,Duke Street Bridges Rehabilitation,Complete,Mar-18,Rehabilitate two bridges along Duke Street,,Kenora,Northwest,,,Highway 11,0,,Yes,,,,49.782053,-92.821318
267,Roads and bridges,Transportation,Dryden,Duke Street Reconstruction ,Complete,Mar-19,"Rehabilitate 115 m of Duke Street from Wabigoon River Bridge, including storm sewer repair, subgrade rehabilitation, drainage and repaving",,Kenora,Northwest,,,Highway 594,0,,Yes,,,,49.781812,-92.843131
268,Roads and bridges,Transportation,Dryden,Detailed Design for Signalized Intersection Studies & Replacement,Planning,2021,,,Kenora,Northwest,,,Highway 17&594,112000,,Yes,,,,49.786167,-92.821352
269,Roads and bridges,Transportation,Dryden,Resurfacing of Duke Street ,Complete,Mar-21,,,Kenora,Northwest,,,594,400854,,Yes,,,,49.784102,-92.821885
270,Roads and bridges,Transportation,Dryden,Traffic Signal Replacements along Duke Street (Highway 594) and Government Street (Highway 17) (8 Sets),Under construction,2023,,,Kenora,Northwest,,,17 & 594,1199520,,Yes,,,,49.78616,-92.82127
